YEAR,COUNTRY,EVENT_TYPE,SUB_EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENTS,FATALITIES
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"15,5791","40,9906",1,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"16,0944","43,2039",2,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"16,1156","43,9414",8,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"16,5288","48,6269",1,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"16,5962","45,5989",4,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"17,0575","51,8238",1,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"17,0883","44,0424",3,0
2023,Yemen,Violence against civilians,Attack,"12,8058","44,788",30,11
2023,Yemen,Violence against civilians,Attack,"13,2949","43,7855",92,38
2023,Yemen,Violence against civilians,Attack,"13,3204","44,7623",13,9
2023,Yemen,Violence against civilians,Attack,"13,6274","46,228",17,11
2023,Yemen,Violence against civilians,Attack,"13,8943","44,7825",16,9
2023,Yemen,Violence against civilians,Attack,"14,0881","44,175",66,33
2023,Yemen,Violence against civilians,Attack,"14,326","45,216",12,16
2023,Yemen,Violence against civilians,Attack,"14,5395","44,3063",15,8
2023,Yemen,Violence against civilians,Attack,"14,651","46,62",30,22
2023,Yemen,Violence against civilians,Attack,"14,657","43,6874",3,3
2023,Yemen,Violence against civilians,Attack,"14,7791","43,2181",18,19
2023,Yemen,Violence against civilians,Attack,"15,3084","43,4994",1,0
2023,Yemen,Violence against civilians,Attack,"15,3329","45,4523",11,10
2023,Yemen,Violence against civilians,Attack,"15,3931","44,4753",20,12
2023,Yemen,Violence against civilians,Attack,"15,4201","44,1919",37,17
2023,Yemen,Violence against civilians,Attack,"15,5791","40,9906",1,1
2023,Yemen,Violence against civilians,Attack,"16,0944","43,2039",3,3
2023,Yemen,Violence against civilians,Attack,"16,1156","43,9414",9,6
2023,Yemen,Violence against civilians,Attack,"16,5288","48,6269",9,6
2023,Yemen,Violence against civilians,Attack,"16,5962","45,5989",16,19
2023,Yemen,Violence against civilians,Attack,"17,0575","51,8238",1,0
2023,Yemen,Violence against civilians,Attack,"17,0883","44,0424",81,26
2024,Bahrain,Protests,Excessive force against protesters,"25,9954","50,5421",1,0
2024,Bahrain,Protests,Excessive force against protesters,"26,1468","50,4809",1,0
2024,Bahrain,Protests,Excessive force against protesters,"26,1927","50,5508",1,0
2024,Bahrain,Protests,Peaceful protest,"25,9954","50,5421",23,0
2024,Bahrain,Protests,Peaceful protest,"26,1468","50,4809",281,0
2024,Bahrain,Protests,Peaceful protest,"26,1927","50,5508",290,0
